scene,status,ssim,chains,particles,animated,render_ms
1977942743,ok,0.6644,2,7,True,9.7
1980759773,ok,0.7472,1,0,True,5.3
1989351128,ok,0.6799,1,5,True,4.3
2003515717,ok,0.7095,1,2,True,6.0
2004695906,ok,0.6604,0,1,True,4.3
2009583253,ok,0.8269,0,2,True,5.5
2013283809,ok,0.7347,1,1,True,5.2
2021828900,ok,0.7715,6,12,True,9.6
2028172205,ok,0.8423,1,1,True,4.6
2040218527,ok,0.712,1,7,True,5.2
2040797956,ok,0.5747,0,6,True,4.7
2055452753,ok,0.7065,1,0,True,5.2
2055454406,ok,0.744,1,0,True,4.4
2057951800,ok,0.7591,1,2,True,5.4
2069169291,ok,0.7615,1,3,True,4.1
2075127892,ok,0.7589,0,3,True,4.4
2078716698,ok,0.7188,0,8,True,5.2
2078983887,ok,0.6648,1,3,True,4.9
2086821449,ok,0.8079,1,3,True,7.8
2089769744,ok,0.7324,1,1,True,4.7
2091191682,ok,0.6652,2,3,True,7.7
2100049948,ok,0.7444,1,9,True,5.3
2100638960,ok,0.602,1,4,True,5.3
2101150485,ok,0.8768,1,1,True,4.2
2102384266,ok,0.6093,1,2,True,8.3
2109616156,ok,0.8162,0,0,False,1.6
2109781506,ok,0.7285,0,21,True,4.8
2112603865,ok,0.6768,1,20,True,5.0
2112643668,ok,0.7284,1,2,True,5.0
2114040291,ok,0.8214,0,2,True,5.6
2116656115,ok,0.6062,0,0,False,0.4
2118070736,ok,0.5959,1,10,True,5.6
2118284965,ok,0.951,1,1,True,4.9
2118943596,ok,0.6861,1,3,True,5.0
2119495626,ok,0.7732,1,0,True,3.9
2121420879,ok,0.615,1,6,True,5.3
2122017400,ok,0.7495,2,1,True,4.2
2130367557,ok,0.6397,1,12,True,4.1
2133876667,ok,0.6409,1,1,True,4.4
2138655350,ok,0.8959,1,6,True,5.3
2158114163,ok,0.6538,0,6,True,3.7
2165290843,ok,0.8929,6,19,True,5.4
2168640648,ok,0.8332,0,0,True,1.7
2175892835,ok,0.5729,0,2,True,5.2
2176051370,ok,0.5506,1,1,True,5.6
2186167510,ok,0.7448,1,5,True,5.1
2206068039,ok,0.9309,1,1,True,4.5
2206777368,ok,0.5462,1,1,True,4.4
2216822793,ok,0.6415,1,6,True,5.9
2224122637,ok,0.8862,0,0,False,1.3
2229427913,ok,0.6414,0,0,False,2.2
2234714713,ok,0.6126,1,1,True,5.2
2235964754,ok,0.712,0,2,True,4.4
2240102452,ok,0.7649,1,4,True,4.7
2242388122,ok,0.6513,6,0,True,5.1
2244109823,ok,0.6905,1,3,True,5.0
2244270027,ok,0.7208,1,12,True,5.4
2250572219,ok,0.8936,2,7,True,5.0
2254747472,ok,0.7281,6,18,True,6.5
2269776770,ok,0.6448,3,4,True,5.3
2278738483,ok,0.5478,1,10,True,5.1
2278782424,ok,0.7563,2,3,True,4.1
2280370760,ok,0.8492,2,9,True,2.5
2285115188,ok,0.6107,1,0,True,4.8
2295487955,ok,0.7363,1,2,True,4.8
2296636049,ok,0.5916,0,34,True,7.0
2306121989,ok,0.7113,5,3,True,2.7
2312820955,ok,0.7577,1,2,True,4.7
2358861700,ok,0.6827,0,5,True,4.9
2370640409,ok,0.6354,7,10,True,5.5
2383234605,ok,0.6725,4,18,True,8.8
2390984293,ok,0.6743,1,11,True,5.6
2411455579,ok,0.664,3,2,True,5.4
2424490762,ok,0.9497,1,9,True,4.6
2426248371,ok,0.6979,8,6,True,8.2
2443637461,ok,0.8003,1,0,True,5.3
2444472355,ok,0.6082,8,0,True,5.0
2447524645,ok,0.7858,1,0,True,4.3
2455305728,ok,0.698,2,6,True,4.6
2477602742,ok,0.8078,6,2,True,4.9
2506851799,ok,0.678,3,2,True,4.6
